,offset,h1,h2,skills_mean,skills_pos
0,0.0,0.0,5.0,-0.01610291036640685,0.4
1,0.0,0.0,6.0,-0.049953468728555314,0.2571428571428571
2,0.0,0.0,7.0,-0.05530789180175432,0.2857142857142857
3,0.0,0.0,8.0,-0.039839626978135055,0.34285714285714286
4,0.0,0.0,9.0,-0.019417724684413603,0.45714285714285713
5,0.0,0.0,10.0,-0.0019976683676231656,0.4857142857142857
6,0.0,0.0,11.0,0.006231805051380071,0.5428571428571428
7,0.0,0.0,12.0,0.015558821299201974,0.5428571428571428
8,0.0,0.0,13.0,0.015038957666598499,0.5142857142857142
9,0.0,0.0,14.0,0.013860232696799694,0.5428571428571428
10,0.0,0.0,15.0,0.0005156355051867401,0.5428571428571428
11,0.0,0.0,16.0,-0.004107019923934986,0.5142857142857142
12,0.0,0.0,17.0,0.002617724411752628,0.5428571428571428
13,0.0,0.0,18.0,0.009954611858172665,0.5142857142857142
14,0.0,0.0,19.0,0.012162855233867533,0.5142857142857142
15,0.0,0.0,20.0,0.012618308496407868,0.4857142857142857
16,0.0,0.0,21.0,0.00611061826106432,0.5142857142857142
17,0.0,0.0,22.0,-0.015530383398932016,0.4857142857142857
18,0.0,0.0,23.0,-0.039994740208105686,0.42857142857142855
19,0.0,0.0,24.0,-0.04004032555156634,0.42857142857142855
20,0.0,1.0,6.0,-0.049417569217088994,0.2571428571428571
21,0.0,1.0,7.0,-0.05477199229028793,0.3142857142857143
22,0.0,1.0,8.0,-0.03930372746666871,0.3142857142857143
23,0.0,1.0,9.0,-0.018881825172947234,0.45714285714285713
24,0.0,1.0,10.0,-0.0014617688561568102,0.4857142857142857
25,0.0,1.0,11.0,0.006767704562846416,0.5428571428571428
26,0.0,1.0,12.0,0.01609472081066835,0.5428571428571428
27,0.0,1.0,13.0,0.015574857178064859,0.5142857142857142
28,0.0,1.0,14.0,0.014396132208266037,0.5142857142857142
29,0.0,1.0,15.0,0.001051535016653082,0.5142857142857142
30,0.0,1.0,16.0,-0.0035711204124685998,0.4857142857142857
31,0.0,1.0,17.0,0.003153623923219034,0.5142857142857142
32,0.0,1.0,18.0,0.01049051136963904,0.5142857142857142
33,0.0,1.0,19.0,0.012698754745333857,0.5142857142857142
34,0.0,1.0,20.0,0.013154208007874221,0.4857142857142857
35,0.0,1.0,21.0,0.006646517772530649,0.4857142857142857
36,0.0,1.0,22.0,-0.014994483887465675,0.4857142857142857
37,0.0,1.0,23.0,-0.03945884069663932,0.42857142857142855
38,0.0,1.0,24.0,-0.03950442604010005,0.42857142857142855
39,0.0,2.0,7.0,-0.052340367127002616,0.2571428571428571
40,0.0,2.0,8.0,-0.03687210230338345,0.3142857142857143
41,0.0,2.0,9.0,-0.016450200009661936,0.42857142857142855
42,0.0,2.0,10.0,0.0009698563071284451,0.4857142857142857
43,0.0,2.0,11.0,0.00919932972613175,0.5142857142857142
44,0.0,2.0,12.0,0.01852634597395364,0.5428571428571428
45,0.0,2.0,13.0,0.01800648234135011,0.5142857142857142
46,0.0,2.0,14.0,0.016827757371551344,0.5428571428571428
47,0.0,2.0,15.0,0.003483160179938391,0.5428571428571428
48,0.0,2.0,16.0,-0.0011394952491833108,0.5142857142857142
49,0.0,2.0,17.0,0.005585249086504232,0.5142857142857142
50,0.0,2.0,18.0,0.012922136532924303,0.5142857142857142
51,0.0,2.0,19.0,0.015130379908619157,0.5142857142857142
52,0.0,2.0,20.0,0.015585833171159502,0.4857142857142857
53,0.0,2.0,21.0,0.009078142935815917,0.5142857142857142
54,0.0,2.0,22.0,-0.012562858724180339,0.4857142857142857
55,0.0,2.0,23.0,-0.03702721553335401,0.42857142857142855
56,0.0,2.0,24.0,-0.03707280087681475,0.4
57,0.0,3.0,8.0,-0.038398394214463616,0.2857142857142857
58,0.0,3.0,9.0,-0.017976491920742133,0.42857142857142855
59,0.0,3.0,10.0,-0.0005564356039517185,0.4857142857142857
60,0.0,3.0,11.0,0.007673037815051532,0.5142857142857142
61,0.0,3.0,12.0,0.01700005406287344,0.5428571428571428
62,0.0,3.0,13.0,0.01648019043026995,0.4857142857142857
63,0.0,3.0,14.0,0.015301465460471165,0.5142857142857142
64,0.0,3.0,15.0,0.001956868268858231,0.5428571428571428
65,0.0,3.0,16.0,-0.0026657871602634915,0.5142857142857142
66,0.0,3.0,17.0,0.004058957175424099,0.5142857142857142
67,0.0,3.0,18.0,0.011395844621844136,0.5428571428571428
68,0.0,3.0,19.0,0.013604087997538972,0.5142857142857142
69,0.0,3.0,20.0,0.014059541260079352,0.4857142857142857
70,0.0,3.0,21.0,0.007551851024735781,0.5142857142857142
71,0.0,3.0,22.0,-0.014089150635260533,0.4857142857142857
72,0.0,3.0,23.0,-0.038553507444434164,0.42857142857142855
73,0.0,3.0,24.0,-0.03859909278789492,0.4
74,0.0,4.0,9.0,-0.017473808459810457,0.37142857142857144
75,0.0,4.0,10.0,-5.375214302004817e-05,0.4857142857142857
76,0.0,4.0,11.0,0.008175721275983185,0.5142857142857142
77,0.0,4.0,12.0,0.017502737523805118,0.5142857142857142
78,0.0,4.0,13.0,0.016982873891201636,0.5142857142857142
79,0.0,4.0,14.0,0.015804148921402823,0.5428571428571428
80,0.0,4.0,15.0,0.0024595517297899077,0.5142857142857142
81,0.0,4.0,16.0,-0.0021631036993318277,0.5428571428571428
82,0.0,4.0,17.0,0.004561640636355756,0.5142857142857142
83,0.0,4.0,18.0,0.011898528082775809,0.5428571428571428
84,0.0,4.0,19.0,0.01410677145847068,0.5142857142857142
85,0.0,4.0,20.0,0.01456222472101101,0.5142857142857142
86,0.0,4.0,21.0,0.008054534485667461,0.5142857142857142
87,0.0,4.0,22.0,-0.01358646717432884,0.5142857142857142
88,0.0,4.0,23.0,-0.03805082398350251,0.4
89,0.0,4.0,24.0,-0.03809640932696324,0.45714285714285713
90,0.0,5.0,10.0,0.01410524199878366,0.4857142857142857
91,0.0,5.0,11.0,0.022334715417786893,0.5714285714285714
92,0.0,5.0,12.0,0.03166173166560882,0.5714285714285714
93,0.0,5.0,13.0,0.03114186803300533,0.5428571428571428
94,0.0,5.0,14.0,0.029963143063206504,0.5142857142857142
95,0.0,5.0,15.0,0.01661854587159363,0.5714285714285714
96,0.0,5.0,16.0,0.011995890442471875,0.5428571428571428
97,0.0,5.0,17.0,0.01872063477815945,0.5428571428571428
98,0.0,5.0,18.0,0.02605752222457952,0.5714285714285714
99,0.0,5.0,19.0,0.0282657656002744,0.5428571428571428
100,0.0,5.0,20.0,0.02872121886281473,0.5428571428571428
101,0.0,5.0,21.0,0.02221352862747118,0.5428571428571428
102,0.0,5.0,22.0,0.0005725269674748755,0.5428571428571428
103,0.0,5.0,23.0,-0.023891829841698818,0.5142857142857142
104,0.0,5.0,24.0,-0.02393741518515956,0.4857142857142857
