,offset,h1,h2,skills_mean,skills_pos
125,0.0,7.0,18.0,0.072,0.6
126,0.0,7.0,19.0,0.076,0.6
127,0.0,7.0,20.0,0.075,0.64
128,0.0,7.0,21.0,0.078,0.64
129,0.0,7.0,22.0,0.083,0.68
130,0.0,7.0,23.0,0.085,0.68
131,0.0,7.0,24.0,0.086,0.64
132,0.0,8.0,13.0,0.052,0.56
133,0.0,8.0,14.0,0.062,0.6
134,0.0,8.0,15.0,0.059,0.64
135,0.0,8.0,16.0,0.068,0.68
136,0.0,8.0,17.0,0.071,0.64
137,0.0,8.0,18.0,0.066,0.6
138,0.0,8.0,19.0,0.07,0.6
139,0.0,8.0,20.0,0.07,0.6
140,0.0,8.0,21.0,0.072,0.6
141,0.0,8.0,22.0,0.077,0.6
142,0.0,8.0,23.0,0.079,0.6
143,0.0,8.0,24.0,0.08,0.6
144,0.0,9.0,14.0,0.041,0.64
145,0.0,9.0,15.0,0.039,0.64
146,0.0,9.0,16.0,0.047,0.64
147,0.0,9.0,17.0,0.05,0.6
148,0.0,9.0,18.0,0.045,0.56
149,0.0,9.0,19.0,0.05,0.6
150,0.0,9.0,20.0,0.049,0.56
151,0.0,9.0,21.0,0.051,0.56
152,0.0,9.0,22.0,0.056,0.6
153,0.0,9.0,23.0,0.059,0.6
154,0.0,9.0,24.0,0.06,0.56
155,0.0,10.0,15.0,0.027,0.68
156,0.0,10.0,16.0,0.035,0.64
157,0.0,10.0,17.0,0.038,0.6
158,0.0,10.0,18.0,0.033,0.56
159,0.0,10.0,19.0,0.038,0.6
160,0.0,10.0,20.0,0.037,0.6
161,0.0,10.0,21.0,0.039,0.6
162,0.0,10.0,22.0,0.044,0.64
163,0.0,10.0,23.0,0.047,0.64
164,0.0,10.0,24.0,0.048,0.6
165,0.0,11.0,16.0,0.024,0.6
166,0.0,11.0,17.0,0.027,0.6
167,0.0,11.0,18.0,0.022,0.56
168,0.0,11.0,19.0,0.027,0.56
169,0.0,11.0,20.0,0.026,0.6
170,0.0,11.0,21.0,0.028,0.6
171,0.0,11.0,22.0,0.033,0.64
172,0.0,11.0,23.0,0.036,0.64
173,0.0,11.0,24.0,0.036,0.64
174,0.0,12.0,17.0,0.029,0.64
175,0.0,12.0,18.0,0.024,0.56
176,0.0,12.0,19.0,0.028,0.56
177,0.0,12.0,20.0,0.028,0.6
178,0.0,12.0,21.0,0.03,0.6
179,0.0,12.0,22.0,0.035,0.6
180,0.0,12.0,23.0,0.037,0.6
181,0.0,12.0,24.0,0.038,0.6
182,0.0,13.0,18.0,0.018,0.6
183,0.0,13.0,19.0,0.023,0.6
184,0.0,13.0,20.0,0.022,0.64
185,0.0,13.0,21.0,0.024,0.64
186,0.0,13.0,22.0,0.029,0.64
187,0.0,13.0,23.0,0.032,0.64
188,0.0,13.0,24.0,0.033,0.64
189,0.0,14.0,19.0,0.013,0.6
190,0.0,14.0,20.0,0.013,0.6
191,0.0,14.0,21.0,0.015,0.6
192,0.0,14.0,22.0,0.02,0.64
193,0.0,14.0,23.0,0.022,0.64
194,0.0,14.0,24.0,0.023,0.64
195,0.0,15.0,20.0,0.015,0.6
196,0.0,15.0,21.0,0.017,0.6
197,0.0,15.0,22.0,0.022,0.6
198,0.0,15.0,23.0,0.025,0.6
